obs_cd,date,addr,x,y,idx,SO2,CO,O3,NO2,PM10,PM25
111171,2017-06-07,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17324-111171,0.00425,0.525,0.049875,0.018,12.75,9.29166666666667
111171,2017-06-08,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17325-111171,0.003875,0.629166666666667,0.070375,0.0190833333333333,38.0416666666667,26.8695652173913
111171,2017-06-09,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17326-111171,0.00620833333333333,0.720833333333333,0.073,0.0254166666666667,59.25,41.2083333333333
111171,2017-06-10,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17327-111171,0.00379166666666667,0.475,0.048375,0.0139583333333333,45.0833333333333,23.1739130434783
111171,2017-06-11,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17328-111171,0.00416666666666667,0.429166666666667,0.05525,0.0155416666666667,28.75,10.9166666666667
111171,2017-06-12,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17329-111171,0.004375,0.429166666666667,0.062625,0.015125,30.1666666666667,13.625
111171,2017-06-13,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17330-111171,0.0045,0.475,0.050375,0.018375,36.2083333333333,18.2083333333333
111171,2017-06-14,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17331-111171,0.00441666666666667,0.475,0.073375,0.015625,41.25,21.5416666666667
111171,2017-06-15,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17332-111171,0.00504166666666667,0.554166666666667,0.069125,0.0267083333333333,53.5416666666667,29.625
111171,2017-06-16,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17333-111171,0.00654545454545455,0.613636363636364,0.1055,0.0274545454545455,69.0454545454546,43.0909090909091
111171,2017-06-17,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17334-111171,0.00720833333333333,0.541666666666667,0.097875,0.0235416666666667,57.0416666666667,35.5416666666667
111171,2017-06-18,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17335-111171,0.00504166666666667,0.454166666666667,0.0815,0.0176666666666667,40.875,26.7826086956522
111171,2017-06-19,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17336-111171,0.004,0.508333333333333,0.076375,0.0286666666666667,52.9583333333333,35.625
111171,2017-06-20,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17337-111171,0.00433333333333333,0.433333333333333,0.087375,0.02375,50.5416666666667,33.2083333333333
111171,2017-06-21,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17338-111171,0.00441666666666667,0.4,0.067125,0.016375,58.0416666666667,38.6086956521739
111171,2017-06-22,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17339-111171,0.00470833333333333,0.379166666666667,0.069125,0.0152916666666667,38.5416666666667,26.0416666666667
111171,2017-06-23,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17340-111171,0.00283333333333333,0.4,0.090875,0.0210833333333333,42.9166666666667,24.7083333333333
111171,2017-06-24,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17341-111171,0.00554166666666667,0.504166666666667,0.0355,0.03625,38.5833333333333,24.0434782608696
111171,2017-06-25,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17342-111171,0.00341666666666667,0.454166666666667,0.058125,0.0202083333333333,33.1666666666667,23.7727272727273
111171,2017-06-26,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17343-111171,0.005,0.4375,0.051875,0.0216666666666667,26.7916666666667,17.2083333333333
111171,2017-06-27,도봉구 시루봉로 2길 34 (쌍문동청소년문화의집),127.029,37.654200000000003,17344-111171,0.00475,0.416666666666667,0.06325,0.0208333333333333,31.1666666666667,19.5
